,0
519,313.235
520,173.277
521,259.281
522,182.253
523,183.257
524,225.229
525,198.250
526,294.232
527,218.240
528,334.237
529,274.230
530,210.231
531,194.256
532,269.232
533,279.240
534,231.252
535,350.219
536,228.256
537,220.243
538,359.183
539,323.227
540,259.264
541,243.230
542,330.220
543,204.268
544,362.180
545,255.268
546,289.242
547,032.180
548,276.255
549,233.269
550,297.238
551,331.243
552,249.279
553,179.256
554,232.259
555,262.245
556,234.274
557,322.219
558,324.225
559,349.226
560,339.224
561,706.190
562,231.225
563,214.279
564,227.250
565,209.245
566,251.285
567,224.223
568,299.254
569,072.185
570,224.230
571,319.248
572,231.255
573,220.234
574,276.237
575,220.278
576,640.224
577,232.225
578,248.251
579,277.280
580,237.214
581,151.274
582,313.238
583,299.229
584,353.224
585,263.259
586,237.263
587,241.261
588,177.269
589,353.229
590,258.230
591,320.240
592,183.247
593,462.232
594,340.236
595,288.237
596,256.231
597,296.252
598,225.274
599,242.229
600,298.255
601,197.251
602,054.226
603,156.285
604,300.241
605,297.246
606,200.258
607,164.278
608,163.274
609,224.267
610,284.265
611,268.301
612,229.242
613,237.263
614,164.283
615,176.261
616,250.263
617,250.261
618,238.288
619,263.260
620,263.257
621,322.239
622,198.250
623,239.266
624,364.222
625,218.262
626,378.272
627,172.268
628,333.238
629,333.234
630,241.230
631,165.266
632,333.239
633,199.274
634,284.265
635,239.270
636,166.272
637,332.220
638,282.249
639,332.231
640,172.265
641,235.269
642,159.273
643,028.179
644,267.242
645,297.244
646,225.261
647,318.223
648,196.265
649,267.285
650,245.226
651,299.250
652,200.282
653,246.254
654,336.221
655,201.254
656,246.286
657,196.273
658,273.246
659,234.267
660,199.241
661,233.273
662,275.244
663,224.249
664,279.283
665,232.244
666,335.223
667,203.276
668,226.248
669,205.244
670,342.237
671,315.250
672,251.229
673,213.223
674,303.240
675,256.244
676,289.231
677,272.241
678,314.239
679,253.251
680,191.266
681,213.235
682,209.252
683,217.237
684,194.264
685,354.244
686,206.248
687,197.242
688,204.242
689,232.248
690,268.301
691,230.252
692,202.269
693,322.247
694,248.259
695,284.247
696,193.266
697,168.267
698,231.222
699,318.235
700,298.274
701,291.257
702,297.248
703,205.245
